Date,Open,High,Low,Close,Volume,Adjusted,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2017-11-18,7697.21,7884.99,7463.44,7790.15,3667190016.0,7790.14990234375,7708.99,7871.69,7315.54,421.55,443.5,790.8,707.49,-92.94,144.58,-548.45,-680.78,4651670016.0,5123809792.0,4200880128.0,7553.291,7287.684,7057.278,0.010472891923132355,1
2017-11-19,7766.03,8101.91,7694.1,8036.49,3149319936.0,8036.490234375,7790.15,7708.99,7871.69,407.81,421.55,443.5,790.8,-270.46,-92.94,144.58,-548.45,3667190016.0,4651670016.0,5123809792.0,7671.721,7434.853,7173.88,0.031132347250235382,1
2017-11-20,8039.07,8336.86,7949.36,8200.64,3488450048.0,8200.6396484375,8036.49,7790.15,7708.99,387.5,407.81,421.55,443.5,-161.57,-270.46,-92.94,144.58,3149319936.0,3667190016.0,4651670016.0,7854.105,7611.068,7311.125,0.020219707267558867,1
2017-11-21,8205.74,8348.66,7762.71,8071.26,4277609984.0,8071.259765625,8200.64,8036.49,7790.15,585.95,387.5,407.81,421.55,134.48,-161.57,-270.46,-92.94,3488450048.0,3149319936.0,3667190016.0,8027.373,7783.75,7452.65,-0.01590258224989855,0
2017-11-22,8077.95,8302.26,8075.47,8253.55,3633530112.0,8253.5498046875,8071.26,8200.64,8036.49,226.79,585.95,387.5,407.81,-175.6,134.48,-161.57,-270.46,4277609984.0,3488450048.0,3149319936.0,8049.316,7867.959,7551.073,0.02233381227401497,1
2017-11-23,8232.38,8267.4,8038.77,8038.77,4225179904.0,8038.77001953125,8253.55,8071.26,8200.64,228.63,226.79,585.95,387.5,193.61,-175.6,134.48,-161.57,3633530112.0,4277609984.0,3488450048.0,8151.433,7980.896,7662.839,-0.02636729831656395,0
2017-11-24,8074.02,8374.16,7940.93,8253.69,5058610176.0,8253.6904296875,8038.77,8253.55,8071.26,433.23,228.63,226.79,585.95,-179.67,193.61,-175.6,134.48,4225179904.0,3633530112.0,4277609984.0,8095.102,7997.847,7722.651,0.02638433629480957,1
2017-11-25,8241.71,8790.92,8191.15,8790.92,4342060032.0,8790.919921875,8253.69,8038.77,8253.55,599.77,433.23,228.63,226.79,-549.21,-179.67,193.61,-175.6,5058610176.0,4225179904.0,3633530112.0,8174.396,8072.782,7807.141,0.06305893658721441,1
2017-11-26,8789.04,9522.93,8775.59,9330.55,5475579904.0,9330.5498046875,8790.92,8253.69,8038.77,747.34,599.77,433.23,228.63,-541.51,-549.21,-179.67,193.61,4342060032.0,5058610176.0,4225179904.0,8482.658,8283.12,7963.664,0.05957458008958222,1
2017-11-27,9352.72,9818.35,9352.72,9818.35,5653320192.0,9818.349609375,9330.55,8790.92,8253.69,465.63,747.34,599.77,433.23,-465.63,-541.51,-549.21,-179.67,5475579904.0,4342060032.0,5058610176.0,8906.604,8589.905,8181.141,0.05095910220949361,1
2017-11-28,9823.43,10125.7,9736.3,10058.8,6348819968.0,10058.7998046875,9818.35,9330.55,8790.92,389.4,465.63,747.34,599.77,-235.37,-465.63,-541.51,-549.21,5653320192.0,5475579904.0,4342060032.0,9362.477,8949.708,8441.626,0.024194809821774188,1
2017-11-29,10077.4,11517.4,9601.03,9888.61,11568799744.0,9888.6103515625,10058.8,9818.35,9330.55,1916.37,389.4,465.63,747.34,188.79,-235.37,-465.63,-541.51,6348819968.0,5653320192.0,5475579904.0,9710.638,9274.553,8698.924,-0.017064228542038876,0
